dataset;type;train_mode;test_avg_acc;test_std_acc;AUC;F1;ECE;Brier;num_epochs
PROTEINS;GCN;P;0.642857;0.000000;0.651410;0.578295;0.036366;0.449985;17
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000031;0.000000;111
PROTEINS;GCN;S;0.660714;0.000000;0.719936;0.656098;0.073717;0.459334;20
PROTEINS;GIN;P;0.705357;0.000000;0.747328;0.686224;0.063253;0.429082;16
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000193;0.000000;54
PROTEINS;GIN;S;0.714286;0.000000;0.716549;0.699666;0.042168;0.403042;12
PROTEINS;GraphSAGE;P;0.732143;0.000000;0.740142;0.725745;0.038221;0.413790;18
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000049;0.000000;68
PROTEINS;GraphSAGE;S;0.758929;0.000000;0.871212;0.739821;0.060752;0.337216;13
PROTEINS;GAT;P;0.625000;0.000000;0.637032;0.611464;0.028423;0.476912;20
PROTEINS;GAT;T;0.651786;0.000000;0.898841;0.514382;0.012158;0.448106;8
PROTEINS;GAT;S;0.705357;0.000000;0.751205;0.704440;0.039477;0.416567;11
PROTEINS;GCN;P;0.696429;0.000000;0.730312;0.696818;0.021816;0.431185;22
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000333;0.000000;36
PROTEINS;GCN;S;0.758929;0.000000;0.808268;0.758594;0.041709;0.347537;23
PROTEINS;GIN;P;0.633929;0.000000;0.624537;0.604174;0.052423;0.460710;13
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000219;0.000000;51
PROTEINS;GIN;S;0.785714;0.000000;0.822586;0.781959;0.036785;0.343102;12
PROTEINS;GraphSAGE;P;0.687500;0.000000;0.709157;0.687987;0.076819;0.451413;13
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.001019;0.000002;24
PROTEINS;GraphSAGE;S;0.741071;0.000000;0.785297;0.726117;0.046384;0.350494;18
PROTEINS;GAT;P;0.732143;0.000000;0.740307;0.702070;0.077712;0.418367;31
PROTEINS;GAT;T;0.901786;0.000000;1.000000;0.897963;0.033989;0.167766;12
PROTEINS;GAT;S;0.723214;0.000000;0.753623;0.725413;0.061826;0.412808;31
PROTEINS;GCN;P;0.687500;0.000000;0.738308;0.688962;0.031479;0.412957;19
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000091;0.000000;46
PROTEINS;GCN;S;0.776786;0.000000;0.817021;0.777095;0.037093;0.348097;16
PROTEINS;GIN;P;0.669643;0.000000;0.673226;0.633484;0.029280;0.450318;19
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000418;0.000000;38
PROTEINS;GIN;S;0.758929;0.000000;0.833388;0.760423;0.040960;0.335901;18
PROTEINS;GraphSAGE;P;0.660714;0.000000;0.714566;0.654768;0.039334;0.436186;17
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.002486;0.000034;25
PROTEINS;GraphSAGE;S;0.785714;0.000000;0.836771;0.784247;0.030987;0.309865;35
PROTEINS;GAT;P;0.678571;0.000000;0.608038;0.628827;0.017837;0.455223;15
PROTEINS;GAT;T;1.000000;0.000000;1.000000;1.000000;0.023761;0.002803;11
PROTEINS;GAT;S;0.678571;0.000000;0.745443;0.680220;0.052187;0.427851;8
PROTEINS;GCN;P;0.723214;0.000000;0.755982;0.710484;0.061273;0.404230;18
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.002579;0.000016;9
PROTEINS;GCN;S;0.821429;0.000000;0.893617;0.821429;0.017927;0.270233;28
PROTEINS;GIN;P;0.767857;0.000000;0.800680;0.766661;0.066497;0.393139;13
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000061;0.000000;56
PROTEINS;GIN;S;0.651786;0.000000;0.707419;0.649371;0.065859;0.444641;24
PROTEINS;GraphSAGE;P;0.767857;0.000000;0.740573;0.765809;0.060218;0.377491;8
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000053;0.000000;40
PROTEINS;GraphSAGE;S;0.723214;0.000000;0.796129;0.713726;0.039656;0.387918;12
PROTEINS;GAT;P;0.705357;0.000000;0.742754;0.698786;0.052289;0.443826;13
PROTEINS;GAT;T;0.580357;0.000000;0.953191;0.426251;0.051769;0.477119;8
PROTEINS;GAT;S;0.732143;0.000000;0.800321;0.729396;0.040478;0.382087;8
PROTEINS;GCN;P;0.723214;0.000000;0.741080;0.721774;0.027037;0.410077;15
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000181;0.000000;61
PROTEINS;GCN;S;0.776786;0.000000;0.865521;0.777254;0.033830;0.318207;15
PROTEINS;GIN;P;0.732143;0.000000;0.763141;0.728197;0.047525;0.408599;11
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000335;0.000000;32
PROTEINS;GIN;S;0.750000;0.000000;0.785161;0.743984;0.022027;0.374106;19
PROTEINS;GraphSAGE;P;0.741071;0.000000;0.735714;0.743550;0.069884;0.394896;11
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000560;0.000002;41
PROTEINS;GraphSAGE;S;0.758929;0.000000;0.810547;0.755698;0.025506;0.355435;32
PROTEINS;GAT;P;0.678571;0.000000;0.728065;0.670837;0.005116;0.427971;42
PROTEINS;GAT;T;1.000000;0.000000;1.000000;1.000000;0.001775;0.000023;42
PROTEINS;GAT;S;0.776786;0.000000;0.840622;0.775045;0.032938;0.326436;10
PROTEINS;GCN;P;0.776786;0.000000;0.778387;0.773300;0.042253;0.385373;17
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000096;0.000000;57
PROTEINS;GCN;S;0.741071;0.000000;0.814931;0.742996;0.042614;0.352170;19
PROTEINS;GIN;P;0.750000;0.000000;0.730242;0.744518;0.057892;0.397250;14
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000041;0.000000;57
PROTEINS;GIN;S;0.723214;0.000000;0.804677;0.722734;0.010370;0.355866;17
PROTEINS;GraphSAGE;P;0.696429;0.000000;0.704762;0.673655;0.072256;0.414258;14
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.001907;0.000008;17
PROTEINS;GraphSAGE;S;0.750000;0.000000;0.769231;0.748176;0.009106;0.384262;9
PROTEINS;GAT;P;0.732143;0.000000;0.696259;0.707031;0.054151;0.431291;24
PROTEINS;GAT;T;0.776786;0.000000;1.000000;0.733184;0.162587;0.411499;8
PROTEINS;GAT;S;0.714286;0.000000;0.792819;0.715106;0.048847;0.385328;15
PROTEINS;GCN;P;0.776786;0.000000;0.829753;0.777489;0.052763;0.367677;16
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.000051;0.000000;62
PROTEINS;GCN;S;0.705357;0.000000;0.781580;0.697689;0.038641;0.399068;15
PROTEINS;GIN;P;0.687500;0.000000;0.692848;0.691111;0.017525;0.428941;10
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000339;0.000000;30
PROTEINS;GIN;S;0.821429;0.000000;0.879252;0.815315;0.019575;0.303758;26
PROTEINS;GraphSAGE;P;0.705357;0.000000;0.645592;0.657404;0.050638;0.438509;14
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.004592;0.000103;25
PROTEINS;GraphSAGE;S;0.732143;0.000000;0.796090;0.700141;0.039690;0.372463;23
PROTEINS;GAT;P;0.705357;0.000000;0.676471;0.678887;0.064519;0.438134;24
PROTEINS;GAT;T;1.000000;0.000000;1.000000;1.000000;0.001230;0.000005;42
PROTEINS;GAT;S;0.714286;0.000000;0.751976;0.716204;0.062045;0.429520;11
PROTEINS;GCN;P;0.660714;0.000000;0.729511;0.632838;0.014682;0.428224;13
PROTEINS;GCN;S;0.750000;0.000000;0.827387;0.749516;0.055017;0.365948;11
PROTEINS;GIN;P;0.803571;0.000000;0.771181;0.791441;0.034663;0.374299;17
PROTEINS;GIN;T;0.946429;0.000000;1.000000;0.945899;0.041791;0.064787;25
PROTEINS;GIN;S;0.714286;0.000000;0.762029;0.700637;0.041728;0.395131;18
PROTEINS;GraphSAGE;P;0.625000;0.000000;0.628118;0.588216;0.009650;0.459743;19
PROTEINS;GraphSAGE;T;1.000000;0.000000;1.000000;1.000000;0.000169;0.000000;68
PROTEINS;GraphSAGE;S;0.785714;0.000000;0.846434;0.778037;0.040075;0.323820;21
PROTEINS;GAT;P;0.741071;0.000000;0.776070;0.729926;0.078811;0.428184;26
PROTEINS;GAT;T;0.723214;0.000000;0.904478;0.676500;0.088708;0.419662;8
PROTEINS;GAT;S;0.696429;0.000000;0.761712;0.700381;0.039570;0.397622;13
PROTEINS;GCN;P;0.732143;0.000000;0.698435;0.710109;0.024727;0.405464;17
PROTEINS;GCN;T;1.000000;0.000000;1.000000;1.000000;0.022837;0.006706;16
PROTEINS;GCN;S;0.678571;0.000000;0.780831;0.684402;0.037237;0.366307;19
PROTEINS;GIN;P;0.767857;0.000000;0.780303;0.765995;0.032928;0.398989;21
PROTEINS;GIN;T;1.000000;0.000000;1.000000;1.000000;0.000251;0.000000;55
PROTEINS;GIN;S;0.750000;0.000000;0.834559;0.750000;0.023508;0.342465;19
PROTEINS;GraphSAGE;P;0.669643;0.000000;0.667318;0.651303;0.021317;0.447145;14
PROTEINS;GraphSAGE;T;0.928571;0.000000;1.000000;0.926743;0.030569;0.054193;11
PROTEINS;GraphSAGE;S;0.821429;0.000000;0.811594;0.818452;0.042504;0.322544;22
